[2025-10-26 12:53:13] ==================================================
[2025-10-26 12:53:13] 나라장터 복수예가입찰 데이터 전처리 V2 시작
[2025-10-26 12:53:13] 원본 디렉토리: /mnt/a/25/data
[2025-10-26 12:53:13] 출력 디렉토리: /mnt/a/25/data전처리완료
[2025-10-26 12:53:13] ==================================================
[2025-10-26 12:53:13] 발견된 Excel 파일 수: 937
[2025-10-26 12:53:17] ✓ 저장 완료: 20231209967-00_통합.xlsx
[2025-10-26 12:53:17] 
[56/400] 처리 중: 20231222841-00
[2025-10-26 12:53:17] ✓ 저장 완료: 20231222841-00_통합.xlsx
[2025-10-26 12:53:17] 
[57/400] 처리 중: 20231222872-00
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 2.6082
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 3.2816
[2025-10-26 12:53:17] ✓ 저장 완료: 20231222872-00_통합.xlsx
[2025-10-26 12:53:17] 
[58/400] 처리 중: 20231224757-00
[2025-10-26 12:53:18] ✓ 저장 완료: 20231224757-00_통합.xlsx
[2025-10-26 12:53:18] 
[59/400] 처리 중: 20231230497-00
[2025-10-26 12:53:18] ✓ 저장 완료: 20231230497-00_통합.xlsx
[2025-10-26 12:53:18] 
[60/400] 처리 중: 20231236423-00
[2025-10-26 12:53:18] ✓ 저장 완료: 20231236423-00_통합.xlsx
[2025-10-26 12:53:18] 
[61/400] 처리 중: 2024-15687
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.22253
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.63
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.93147
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 3.15514
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 3.78481
[2025-10-26 12:53:18] ✓ 저장 완료: 2024-15687_통합.xlsx
[2025-10-26 12:53:18] 
[62/400] 처리 중: 2024-18845
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.25639
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.40919
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.90006
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 3.32702
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 3.3398
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 3.50647
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 3.51457
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 4.08995
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 4.60875
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 4.74606
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 5.03462
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 10.13881
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 11.32702
[2025-10-26 12:53:18] ✓ 저장 완료: 2024-18845_통합.xlsx
[2025-10-26 12:53:18] 
[63/400] 처리 중: 2024-24199
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.76653
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.77939
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 4.51856
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 10.3792
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 15.8341
[2025-10-26 12:53:18] ✓ 저장 완료: 2024-24199_통합.xlsx
[2025-10-26 12:53:18] 
[64/400] 처리 중: 2024-24213
[2025-10-26 12:53:18] 이상치 발견 - 기초대비사정률: 2.27943
